기존,전처리
 올레오레진 로즈마리, 올레오레진 로즈마리
 건조애플다이스 0.88% (칠레/건조사과, 건조애플다이스  
발효식초(맥아엑기스:미국산),발효식초
 적포도농축액, 적포도농축액
붉은대게살12.37%(게:국산),붉은대게살
분리유청단백WPI(미국산),분리유청단백WPI
말랑밀떡볶이떡-밀가루(밀:호주산),말랑밀떡볶이떡밀가루
 매운고추양념, 매운고추양념
유산균(미국산),유산균
 볶은옥수수, 볶은옥수수
무(국내산)6.16%,무
합성착향료(벌꿀향,합성착향료
식품혼합추출농축액[숙지황,식품혼합추출농축액
다이스드토마토30%(미국산/토마토65%,다이스드토마토
D-소비톨액],D소비톨액
잉글리쉬블랙퍼스트홍차(스리랑카산)10%,잉글리쉬블랙퍼스트홍차
시금치,시금치
 유기농발아수수(국산)2%, 유기농발아수수
 설탕)], 설탕
젖산)},젖산
카레분(강황26.96%/인도산)],카레분
도가니농축액-C0.5%[도가니추출농축액(도가니:호주산)92%,도가니농축액C
검은콩추출액6.5%(고형분7%이상,검은콩추출액
포도청징농축액,포도청징농축액
소보루(땅콩),소보루
요거트맛분말[물엿,요거트맛분말
중국산50%),중국산
 {아미노산액(탈지대두:인도산), 아미노산액
튀김가루시즈닝믹스[옥수수가루,튀김가루시즈닝믹스
감자(국산)10%,감자
밀 100%(미국산),밀 
혼합효소제제(밀가루,혼합효소제제
 양파분, 양파분
리퀴드미트텐더라이저,리퀴드미트텐더라이저
국내산 호박고구마 100%,국내산 호박고구마 
고다치즈5.7%(네달란드사니원유,고다치즈
보리증류식소주원액(보리:국산),보리증류식소주원액
닭고기(국산)37%,닭고기
 가드엠53-신[주정, 가드엠신
진피(국내산),진피
청태(국산),청태
(옥수수:수입산) 4.98%, 
돈잡뼈5%(국산)],돈잡뼈
고다치즈분말,고다치즈분말
 계란(국내산)9.1%, 계란
참깨(중국)7.5%,참깨
멸치액,멸치액
해조칼슘0.59%,해조칼슘
간장분말{조미아미노산간장(대두:인도산)}],간장분말조미아미노산간장
딸기다이스시럽[딸기(국산),딸기다이스시럽
밀크레진(우유),밀크레진
 D-자일로오스0.38%, D자일로오스
부추7.06%,부추
치킨시즈닝분말1.44%[정백당10%,치킨시즈닝분말
마요프리믹스-R},마요프리믹스R
백미후추9.09%,백미후추
콘그릿츠,콘그릿츠
 멸치엑기스3.5%[멸치 11.8%(멸치:국산)], 멸치엑기스
 파프리카올레오레진추출색소, 파프리카올레오레진추출색소
폴리옥시에틸렌솔비탄모노올레이트),폴리옥시에틸렌솔비탄모노올레이트
팜유/말레이시아산))],팜유말레이시아산
혼합제제2(치자청색소,혼합제제
식물성크림(물엿,식물성크림
a-토코페롤,a토코페롤
티제이-2000(식물성유지,티제이
질산나트륨},질산나트륨
고소미조미분말,고소미조미분말
마늘향분말.디[분말결정포도당,마늘향분말디
이즈니버터(프랑스산;우유),이즈니버터
쌀86%[쌀,쌀
발효고추소스1%{발효고추18.5%(태국산)},발효고추소스발효고추
 오징어땡(소)어묵 15.78%(냉동연육(수입산), 오징어땡어묵 
모짜렐라&체다핫도그용치즈[모짜렐라치즈(외국산),모짜렐라체다핫도그용치즈
김(국산)94%,김
어묵용조미액(대두),어묵용조미액
붂음조미감자분,붂음조미감자분
 유기농설탕7.84%, 유기농설탕
적두(중국산),적두
대보추출물70.5%[고형분함량1%,대보추출물
 유산균]20%, 유산균
 우동베이스분말, 우동베이스분말
수입산)5.63%,수입산
카레분말{강황(인도산),카레분말강황
 복합지미분, 복합지미분
딸기(국산)25%,딸기
청파칩,청파칩
 감미료(아스파탐-페닐알라닌함유, 감미료
캐나다산등)],캐나다산등
양조간장24.61%(탈지대두:인도산,양조간장
대파 그외,대파 그외
 청양고추(국내산)1.14%, 청양고추
콩(대두)13.6%(중국산),콩
현미9.41%(외국산),현미
유기농콩코드포도농축액3.4%[(고형분68%,유기농콩코드포도농축액
파인애플과즙환산시26%),파인애플과즙환산시
복령추출액,복령추출액
박력분(밀/미국산),박력분
 연육[수입산/어육, 연육
 유기케일즙 10%(케일:국산), 유기케일즙 
 유기농사과농축액(터키산/70Brix)5.5%, 유기농사과농축액
벌꿀0.19%(국산),벌꿀
돼지고기2.80%(국산),돼지고기
 폴란드산) 100%] 5.5%, 폴란드산  
석류과즙농축액100%)7%,석류과즙농축액
 스위트치즈맛씨즈닝(대두, 스위트치즈맛씨즈닝
 히알루론산-KD(히알루론산, 히알루론산KD
메추리알(국산) 58.2%,메추리알 
단호박분말,단호박분말
 푸룬농축액 0.65%(미국산), 푸룬농축액 
 들기름(중국산), 들기름
고지방분말(유화제,고지방분말
 조미홍고추분말, 조미홍고추분말
일반증류주0.07%,일반증류주
비타민PREMIX ND INF-O/01[영양강화제,비타민PREMIX ND INFO
미트인헨서,미트인헨서
가공전지분[유청분말(필란드산),가공전지분
엿기름(국내산)7%],엿기름
L-글루캄산나트륨(향미증진제),L글루캄산나트륨
죽:정제수,죽정제수
 옥분<옥수수/수입산>], 옥분옥수수수입산
태국),태국
 녹차), 녹차
바닐라빈시드0.2%,바닐라빈시드
 돌파인애플슬라이스(파인애플, 돌파인애플슬라이스
아스파탐(합성감미료,아스파탐
불고기씨즈닝분말,불고기씨즈닝분말
"정제염
*<글루텐프리미트소스>:정제수","정제염
글루텐프리미트소스정제수"
 페닐알라닌 함유) 12%, 페닐알라닌 함유 
발효주정0.7%,발효주정
렌즈콩(미국산),렌즈콩
비프스프향,비프스프향
 발효식초(주요, 발효식초
마늘농축액],마늘농축액
 마가린[식물성유지, 마가린
쿠키칩(밀;미국산,쿠키칩
마(국산),마
 자몽청징농축액0.28%[고형분64%(과즙으로2%), 자몽청징농축액
백포도농축액(칠레),백포도농축액
 양조식초[맥아엑기스(겉보리:미국산), 양조식초
 홀그레인머스타드10%[프랑스산/겨자씨29%, 홀그레인머스타드
고추불고기양념장-1,고추불고기양념장
스위트시즈닝-JF(우유),스위트시즈닝JF
팔각회향열매,팔각회향열매
계피엑기스레진,계피엑기스레진
 절임배추, 절임배추
 발효간장베이스, 발효간장베이스
한우32.2%(국내산),한우
향신야채우린물(양파,향신야채우린물
커피농축액 2.8%(브라질산,커피농축액 
땅콩버터(중국산),땅콩버터
볶음콩가루(콩:중국산)},볶음콩가루
김:51%(국산100%)옥배유:44%(캐나다산)참기름:3%(중국산)소금:2%(국산),김옥배유참기름소금
탈지분유0.6%(국산),탈지분유
혼합제제2(락톤류,혼합제제
닭발62.5%(국내산),닭발
양파8.89%,양파
포도농축액,포도농축액
돼지고기(국산)81.76%,돼지고기
트러하,트러하
주정) *사과(생물기준) 1% 함유,주정 사과  함유
 젤라검, 젤라검
에이스,에이스
비타민B2.,비타민B
 글리세린 지방산에스테르, 글리세린 지방산에스테르
사골엑기스2.63%[우사골추출액(우사골:호주산 고형분48%)88%,사골엑기스
 유기농 단호박분말(국산)2%, 유기농 단호박분말
 코치닐추출색소2.0, 코치닐추출색소
유기밀가루(밀,유기밀가루
 딸기향키베이스(합성향료), 딸기향키베이스
컬미역,컬미역
돈전지100%,돈전지
자당지방산에스텔,자당지방산에스텔
캐나다산)21%,캐나다산
키위퓨레4%(뉴질랜드산),키위퓨레
감자파우더20%,감자파우더
화이트소스,화이트소스
올리브오일[스페인산/입착올리브유100%],올리브오일
 청주, 청주
호박산이나트륨),호박산이나트륨
폴리덱스트로스(식이섬유70%이상),폴리덱스트로스
낙지(중국산)66%,낙지
활성글루텐2.1%,활성글루텐
고야레몬주스0.26%(도미니카공화국산)(농축레몬주스21%),고야레몬주스
씨즈닝믹스베이스#142}/종가집겨자소스[정제수,씨즈닝믹스베이스종가집겨자소스
우스타소스(토마토),우스타소스
중국},중국
차조/국산)0.6%,차조국산
닭고기 안심 78.87%(국내산),닭고기 안심 
후레바오일#에스,후레바오일에스
향신조미분-지케이,향신조미분지케이
볶음쇠고기(쇠고기4.68%(호주산)],볶음쇠고기
현미(국산)38%,현미
비타민B2리보플라빈,비타민B리보플라빈
고형분50%,고형분
옐로우슈레드49.2%[랜넷카제인(수입산/우유),옐로우슈레드
파스트라미용시즈닝[검은후추(말레이시아산),파스트라미용시즈닝
폴리리신50P(§-폴리리신,폴리리신P
캐슈넛트[베트남산]100%,캐슈넛트
결정제),결정제
 혼합분유(우유), 혼합분유
데이스트인핸서,데이스트인핸서
보리50%(국산),보리
돼지고기(국내산)32 %,돼지고기 
가공유지(에스테르화유-팜스테아린유/말레이시아산,가공유지
가라아게배터-2[베이스믹스-3{프리믹스분말5호<소맥전분(밀:미국산,가라아게배터
웰빙다시다,웰빙다시다
 향미증진제2, 향미증진제
L-글루타미산나트륨(향미증진제)1%,L글루타미산나트륨
생강(국산) *햄묵은지찜양념(50g)/정제수,생강 햄묵은지찜양념정제수
식물성경화유지((야자유:인도네시아산,식물성경화유지
바지락엑기스16.25%(중국산/고형분45%),바지락엑기스
산성피로인산나트륨),산성피로인산나트륨
돼지고기66.02%(국산54.84%,돼지고기
바지락엑기스P,바지락엑기스P
 무화과오리불고기(26.76%)-간장불고기양념오리30%{오리고기69.9%(국산), 무화과오리불고기간장불고기양념오리오리고기
밀)46.51%,밀
요리당,요리당
유기농현미(국산) 72.19%,유기농현미 
마아가린2[식물성유지,마아가린
쇠고기(국내산)31.78%,쇠고기
베터믹스-4(박력분,베터믹스
스위트콘8.20%(태국산/옥수수87.06%,스위트콘
올스파이스아롬,올스파이스아롬
돈지방14,돈지방
 유기농당근농축과즙(과즙으로 5%), 유기농당근농축과즙
라임농축액(이탈리아산,라임농축액
아라키돈산-20,아라키돈산
사골농축액(우사골추출물,사골농축액
합성향료(밤향),합성향료
아카시아꿀분말(아카시아벌꿀(국내산)),아카시아꿀분말
쌀2.27%(국산),쌀
토마토페이스트(토마토즙으로60%,토마토페이스트
딸기30.4%(중국산),딸기
 고추씨, 고추씨
천일염(국산)8%,천일염
당통팥[팥(중국산),당통팥
 녹용분말, 녹용분말
팜올레인경화유:말리이지아산),팜올레인경화유말리이지아산
파라옥시안식향산에틸(합성보존료)46.62%,파라옥시안식향산에틸
유기농망고농축액[국내산,유기농망고농축액
전지분유코코아파우더),전지분유코코아파우더
고추씨기름2.3%(수입산),고추씨기름
유산균 배양액 0.1%,유산균 배양액 
바닐라베이스,바닐라베이스
 케슈넛트(인도산) 19%, 케슈넛트 
올레오레진세이지)},올레오레진세이지
 몽블랑슈레드[기타가공품/퍼펙트, 몽블랑슈레드
마리골드색소,마리골드색소
마늘(국산)3.74%,마늘
 감자전분(국내산), 감자전분
효소제)알긴산프로필렌글리콜,효소제알긴산프로필렌글리콜
아몬드페이스,아몬드페이스
돼지불고기양념35%[간장{대두(인도산),돼지불고기양념
다시마엑기스,다시마엑기스
카레분1.25%[강황31.9%(인도산),카레분
 브레더No3{전분(수입산), 브레더No전분
 퍼핑현미(현미, 퍼핑현미
 비타민 B2, 비타민 B
 연육, 연육
사과농축액(국산,사과농축액
정백당/해물조미액:조개엑기스,정백당해물조미액조개엑기스
 홍화황색소], 홍화황색소
무항생제닭고기(가슴살/국산)62.5%,무항생제닭고기
 숙주(녹두/중국산), 숙주
산초,산초
 쪽파, 쪽파
우건8%(뉴질랜드산),우건
연두순③버섯건더기-건표고버섯83.33%(중국산),연두순③버섯건더기건표고버섯
생감자88%(수미,생감자
강황분0.05%(인도산),강황분
합성착향료(버터향),합성착향료
 강황추출액, 강황추출액
비타민c,비타민c
식이섬유,식이섬유
블루베리시럽 [백설탕,블루베리시럽 
 조미씨즈닝{지미맥스브랜드, 조미씨즈닝지미맥스브랜드
우유)[L-글리타민산나트륨(향미증진제)],우유
조개류(홍합,조개류
바질홀0.05%(네덜란드산),바질홀
혼합곡물추출액45%(고형분0.43이상,혼합곡물추출액
쇠고기(호주산)85.00%,쇠고기
탈지분유(국산)5.7%,탈지분유
 코코넛밀크(고형분15.7%, 코코넛밀크
 합성향료(바닐라), 합성향료
 숙지황(국산)15%, 숙지황
멥쌀58.5%(국산),멥쌀
 가공유지(팜유), 가공유지
태양고춧가루,태양고춧가루
 카레분(일본)}4.85%, 카레분
목심)33.3%,목심
 혼합분유1, 혼합분유
국물맛내기베이스,국물맛내기베이스
새우0.78%(수입산),새우
합성착색료(식용색소황색제4호),합성착색료
토란줄기(미얀마산)6.43%,토란줄기
당근(국산)7.89%,당근
밀쌀(호주산),밀쌀
육개장맛내기분말(대두,육개장맛내기분말
수용성발효칼슘,수용성발효칼슘
식물성유지(팜올레인),식물성유지
전분풀,전분풀
유자과즙(유자:국내산)>,유자과즙
핫팜믹스,핫팜믹스
엑티브파우더-5,엑티브파우더
건크랜베리(미국)25%[크랜베리54%,건크랜베리
 산약분말(국산)3%, 산약분말
비타민E초산에스테르,비타민E초산에스테르
lgY난황액(계란)0.2%,lgY난황액
핑크자몽주스(자몽착즙95%,핑크자몽주스
로커스트콩검]23.19%,로커스트콩검
돼지고기77.21%(국산),돼지고기
 혼합제제3(산도조절제, 혼합제제
오렌지농축액B(오렌지과즙50%),오렌지농축액B
돼지고기(국산)64.27%[갈비살 32%,돼지고기
블루베리7%(캐나다산50%,블루베리
식염5%(국내),식염
 청고추, 청고추
홍삼농축액(고형분60%,홍삼농축액
